Level_ID,Name,Weather,LevelTag,FeatureUnlock,ShuffleDistance,ServeableSlots,QueueString,GridString,CustomerString,OutOfSlotPolicy,BoosterCharges,IngredientWeights,CustomerDishesSequence,ComplexityCurve,ShuffleCurve,DesignNote,RandomSeed,ObstacleData
1,1_1,Normal,Normal,,0,2,"1,0,0,1%1,0,0,1%0,1,1,0",",,,,,,,,,","0;0;0;{c0:17.{g0:18}}|0;0;0;{c0:17.{g0:18}}|0;0;0;{c0:17.{g0:18}},{c0:17.{g0:18}}|0;0;0;{c0:17.{g0:18}},{c0:17.{g0:18}}",,,17:100;18:100,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,,
2,1_2,Normal,Normal,,0,2,"0,1,7,0,7,7%7,0,1,0,1,0,7,7%1,0,1,1,0,1",",,,,,,,,,","0;0;0;{c0:17.{g0:18}},{c1:24}|0;0;0;{c1:24}|0;0;0;{c0:17.{g0:18}},{c1:24}|0;0;0;{c0:17.{g0:18}}|0;0;0;{c1:24},{c0:17.{g0:18}}|0;0;0;{c1:24}|0;0;0;{c0:17.{g0:18}},{c0:17.{g0:18}},{c0:17.{g0:18}},{c1:24}",,,17:100;18:100;24:86,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,,
3,1_3,Normal,Normal,,0,2,"7,1,1,3,0,0,1,0,1,2%3,0,7,0,2,0,1,3,1%0,0,0,1,1,0,3,1,7",",,,,,,,,,","0;0;0;{c1:24}|0;0;0;{c0:17.{g0:18.20.19}}|0;0;0;{c0:17.{g0:20.19}},{c0:17.{g0:20.18}}|0;0;0;{c0:17.{g0:20.18}},{c0:17.{g0:18}}|0;0;0;{c0:17.{g0:20.18}}|0;0;0;{c0:17.{g0:20.18.19}}|0;0;0;{c1:24},{c0:17.{g0:18.20}}|0;0;0;{c1:24},{c0:17.{g0:18.19}},{c0:17.{g0:20.18}}",,,17:100;18:90;19:40;20:80;24:30,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":1},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,,
4,1_4,Normal,Normal,,0,2,"7,0,0,6,3,0,6,6,6,7,6,1,1,1,1%2,1,0,3,6,1,7,0,1,1,3,0,2,1%6,3,1,0,0,2,0,1,6,6,0,0,0,0",",,,,,,,,,","0;0;0;{c1:24}|0;0;0;{c0:17.{g0:18.23.19}}|0;0;0;{c0:17.{g0:20.18.23}}|0;0;0;{c0:17.{g0:23.20}},{c0:17.{g0:23.19}}|0;0;0;{c1:24}|0;0;0;{c0:17.{g0:23.20.18}},{c0:17.{g0:18.19}}|0;0;0;{c0:17.{g0:18.23.20}}|0;0;0;{c1:24},{c0:17.{g0:23.18}}|0;0;0;{c0:17.{g0:20.23.18.19}},{c0:17.{g0:23.18.20}}|0;0;0;{c0:17.{g0:18.19}},{c0:17.{g0:18.20}},{c0:17.{g0:18.20.19}}",,,17:100;18:85;19:46;20:62;23:69;24:23,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":2},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,,
5,1_5,Normal,Hard,,0,2,"1,0,6,7,1,3,6,6,0,0,1,6,6,2,1,0,0,0,0,1%0,0,0,6,3,2,6,2,2,7,3,6,2,6,6,0,2,0,1,2,1%0,2,7,1,1,0,0,1,1,6,1,0,3,0,3,7,3,6,1,6",",,,,,,,,,","0;0;0;{c1:24}|0;0;0;{c0:17.{g0:19.18}}|0;0;0;{c0:17.{g0:18.20.19.23}}|0;0;0;{c1:24},{c0:17.{g0:23.20}}|0;0;0;{c0:17.{g0:18.19}},{c0:17.{g0:23.19.20}}|0;0;0;{c0:17.{g0:20.23.19.18}}|0;0;0;{c0:17.{g0:20.23.19.18}},{c1:24}|0;0;0;{c0:17.{g0:23.20.19.18}},{c0:17.{g0:23.19}}|0;0;0;{c0:17.{g0:23.19.20.18}}|0;0;0;{c0:17.{g0:20.19.18.23}},{c0:17.{g0:20.19.18.23}}|0;0;0;{c0:17.{g0:23.18.20.19}},{c0:17.{g0:23.20.18.19}},{c1:24}|0;60;0;{c0:17.{g0:18.20.23.19}},{c0:17.{g0:19.18}},{c0:17.{g0:19}};;0",,,17:100;18:76;19:94;20:71;23:76;24:24,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,,
6,1_6,Normal,Normal,,0,2,"0,1,0,6,1,13,0,1,7%1,0,6,0,3,0,6,0,1%13,0,2,2,1,6,0,6,6",",,,,,,,,,","0;0;0;{c0:17.{g0:23}},{c2:{g1:29}}|0;0;0;{c0:17.{g0:23.18.19}}|0;0;0;{c0:17.{g0:20.18.19}},{c2:{g1:29}}|0;0;0;{c0:17.{g0:19.18.23}}|0;0;0;{c0:17.{g0:18}},{c1:24},{c2:{g1:29}}|0;0;0;{c0:17.{g0:18}},{c0:17.{g0:23}},{c2:{g1:29}}|0;0;0;{c0:17.{g0:23.20}},{c0:17.{g0:18.23.19}}",,,17:100;18:67;19:44;20:22;23:67;24:11;29:44,,,"{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,,
7,1_7,Rainy,Normal,,0,2,"2,0,0,6,0,2,13,1,1%3,1,1,1,1,0,6,3,1,0%0,3,0,13,0,6,0,6,1,0",",,,,,,,,,","0;0;0;{c0:17.{g0:20}}|0;60;1;{c0:17.{g0:19.18}};;2|0;0;0;{c2:{g1:29}},{c0:17.{g0:18.20.19}}|0;0;0;{c0:17.{g0:23.18.20.19}}|0;0;0;{c0:17.{g0:23.18}},{c2:{g1:29}}|0;0;0;{c0:17.{g0:18.23}},{c2:{g1:29}}|0;60;1;{c0:17.{g0:18.23.20.19}};;3|0;60;1;{c0:17.{g0:20.18}},{c0:17.{g0:18}},{c0:17.{g0:20}};;5|0;0;0;{c2:{g1:29}}",,,0:100;1:100;2:22;3:27;6:35;7:22;13:100;17:100;18:80;19:40;20:60;23:40;29:40,1;1;2;1;2;2;1;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":7},""keyframes"":[{""x"":0,""y"":0.10909780064923635,""tangent"":0},{""x"":0.24711907810499362,""y"":0.6571739978358792,""tangent"":0},{""x"":0.6081946222791293,""y"":0.4855541785148091,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",intro weather & wait time,,
8,1_8,Normal,Normal,,0,2,"13,5#2,0,1,0,5,1#2,1,0,0,2%6,1,0,3,1,0,0,3,2,0#2,13,6,6%0,0,2,0,6#2,3,1,0,0,1#2,3",",,,,,,,,,","0;0;0;{c0:17.{g0:23}}|0;0;0;{c2:{g1:29}},{c0:17.{g0:20}}|0;0;0;{c0:17.{g0:19.18.20.22}}|0;0;0;{c0:17.{g0:18.19}},{c2:{g1:29}}|0;0;0;{c0:17.{g0:19.20.18}},{c0:17.{g0:20.22}}|0;0;0;{c0:17.{g0:18.20.23.22}}|0;0;0;{c0:17.{g0:18.19}},{c0:17.{g0:20}}|0;0;0;{c2:{g1:29}},{c0:17.{g0:18}},{c2:{g1:29}}|0;0;0;{c0:17.{g0:19.22.20}}|0;0;0;{c0:17.{g0:18.23.22}},{c0:17.{g0:22.19.23.20}};;1",,,0:100;1:100;2:100;3:100;5:41;6:33;13:100;17:100;18:54;19:46;20:62;22:46;23:31;29:31,1;2;3;1;1;2;1;2;2,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.10909780064923635,""tangent"":0},{""x"":0.2240717029449424,""y"":0.42465682327184884,""tangent"":0},{""x"":0.4827144686299616,""y"":0.7291435994866504,""tangent"":0},{""x"":0.7362355953905251,""y"":0.4135845768640378,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,,
9,1_9,Rainy,Normal,,0,2,"0,7,1#2,13,0,0,6#2%5,3,13,0,3,0,1,0,6,6%6,7,6,5#2,6,0#2,1,5,5#2,6%1,1,2,2,6,0,1,0,2,6%0,13,0,6,0#2,3,0",",,,,,,,,,","0;60;0;{c0:17.{g0:22.23.18}};;4|0;0;0;{c0:17.{g0:18.22}}|0;0;0;{c2:{g1:29}},{c2:{g1:29}}|0;0;0;{c2:{g1:29}},{c1:24}|0;90;1;{c2:{g1:29}},{c1:24},{c2:{g1:29}};;3|0;0;0;{c0:17.{g0:22.19.23.20}}|0;0;0;{c0:17.{g0:22.23}},{c0:17.{g0:23.22}}|0;0;0;{c0:17.{g0:22.23.18.20}}|0;90;1;{c0:17.{g0:23.22.18.19}};;0|0;0;0;{c0:17.{g0:23.22.20.19}},{c0:17.{g0:22.20}}|0;0;0;{c0:17.{g0:23.22.18.19}}|0;90;1;{c0:17.{g0:19.18.22}},{c0:17.{g0:20.23.19}},{c0:17.{g0:23.20.22}},{c2:{g1:29}};;5",,,0:100;1:100;2:14;3:47;5:100;6:100;7:75;13:99;17:100;18:46;19:46;20:46;22:92;23:77;24:15;29:46,1;1;2;2;3;1;2;1;1;2;1;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":9},""keyframes"":[{""x"":0,""y"":0.34161497521326667,""tangent"":0},{""x"":0.2855313700384123,""y"":0.0703449382218978,""tangent"":0},{""x"":0.53393085787452,""y"":0.5630599033694859,""tangent"":0},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":3},""keyframes"":[{""x"":0,""y"":0,""tangent"":1},{""x"":1,""y"":1,""tangent"":1}]}",,,
10,1_10,Rainy,Hard,,0,2,"0,0,13#2,0#2,3,0,1,6,2#2,0,2%6,0#2,0,0#2,5,0,1#2,0,1,0,1,0#2,0#2,0%1,3,3,2,2#2,1,1,1#2,3,2,2,3,6#2,0,0%2,0,6#2,0#2,5,13,3,0,0#2,5,0#2,1,0,2%1,5#2,5,0,6#2,0#2,1,1,0,6#2,1",",,,,,,,,,","0;0;0;{c2:{g1:29}},{c2:{g1:29}}|0;0;0;{c0:17.{g0:20}},{c0:17.{g0:22}}|0;0;0;{c0:17.{g0:23.19.20.22}}|0;0;0;{c0:17.{g0:18.19.20.22}}|0;0;0;{c0:17.{g0:18}},{c2:{g1:29}},{c0:17.{g0:20.19}}|0;0;0;{c0:17.{g0:19.20.22.23}}|0;80;1;{c0:17.{g0:22}},{c0:17.{g0:18}};;2|0;0;0;{c0:17.{g0:18}},{c2:{g1:29}},{c0:17.{g0:20}}|0;0;0;{c0:17.{g0:22.18.19.23}}|0;80;1;{c0:17.{g0:22.19.18.23}};;3|0;0;0;{c0:17.{g0:18.22}},{c0:17.{g0:19.22}},{c0:17.{g0:18.19}};;4|0;0;0;{c0:17.{g0:19.20.22}},{c0:17.{g0:19.18.22}},{c0:17.{g0:19}};;1|0;0;0;{c0:17.{g0:19.22.18.23}},{c0:17.{g0:23.19.20.18}}|0;80;1;{c0:17.{g0:18.20}},{c0:17.{g0:20.22.19}},{c0:17.{g0:22.18.19.20}};;6|0;0;0;{c0:17.{g0:19.20.22}}",,,0:100;1:81;2:100;3:48;5:100;6:29;7:100;13:66;17:100;18:52;19:64;20:48;22:60;23:24;29:16,1;2;1;1;3;1;2;3;1;1;3;3;2;3,"{""range"":{""minX"":0,""maxX"":1,""minY"":1,""maxY"":12},""keyframes"":[{""x"":0,""y"":0.042577820277309386,""tangent"":0},{""x"":0.16261203585147246,""y"":0.5463650318327085,""tangent"":0},{""x"":0.45198463508322667,""y"":0.30277561086086713,""tangent"":0},{""x"":0.7567221510883482,""y"":0.67923198872644,""tangent"":0.06973729390725995},{""x"":1,""y"":1,""tangent"":0}]}","{""range"":{""minX"":0,""maxX"":1,""minY"":0,""maxY"":7},""keyframes"":[{""x"":0,""y"":0,""tangent"":5.4934253130583315},{""x"":0.06914212548015365,""y"":1,""tangent"":0},{""x"":0.47375160051216386,""y"":0,""tangent"":0},{""x"":0.6043533930857875,""y"":0.9944450036488085,""tangent"":0},{""x"":1,""y"":0,""tangent"":1}]}",,,
